filename,dec_inputs,dec_outputs
Data6_3_Raw_0_0,S change to another song,change to another song E
Data6_4_Raw_0_0,S change to another song,change to another song E
Data6_5_Raw_0_0,S change to another song,change to another song E
Data6_6_Raw_0_0,S change to another song,change to another song E
Data6_7_Raw_0_0,S change to another song,change to another song E
Data6_8_Raw_0_0,S change to another song,change to another song E
Data6_9_Raw_0_0,S change to another song,change to another song E
Data6_10_Raw_0_0,S change to another song,change to another song E
Data7_1_Raw_0_0,S next one,next one E
Data7_2_Raw_0_0,S next one,next one E
Data7_3_Raw_0_0,S next one,next one E
Data7_4_Raw_0_0,S next one,next one E
Data7_5_Raw_0_0,S next one,next one E
Data7_6_Raw_0_0,S next one,next one E
Data7_7_Raw_0_0,S next one,next one E
Data7_8_Raw_0_0,S next one,next one E
Data7_9_Raw_0_0,S next one,next one E
Data7_10_Raw_0_0,S next one,next one E
Data8_1_Raw_0_0,S last one,last one E
Data8_2_Raw_0_0,S last one,last one E
Data8_3_Raw_0_0,S last one,last one E
Data8_4_Raw_0_0,S last one,last one E
Data8_5_Raw_0_0,S last one,last one E
Data8_6_Raw_0_0,S last one,last one E
Data8_7_Raw_0_0,S last one,last one E
Data8_8_Raw_0_0,S last one,last one E
Data8_9_Raw_0_0,S last one,last one E
Data8_10_Raw_0_0,S last one,last one E
Data9_1_Raw_0_0,S suspend,suspend E
Data9_2_Raw_0_0,S suspend,suspend E
Data9_3_Raw_0_0,S suspend,suspend E
Data9_4_Raw_0_0,S suspend,suspend E
Data9_5_Raw_0_0,S suspend,suspend E
Data9_6_Raw_0_0,S suspend,suspend E
Data9_7_Raw_0_0,S suspend,suspend E
Data9_8_Raw_0_0,S suspend,suspend E
Data9_9_Raw_0_0,S suspend,suspend E
Data9_10_Raw_0_0,S suspend,suspend E
Data10_1_Raw_0_0,S continue to play,continue to play E
Data10_2_Raw_0_0,S continue to play,continue to play E
Data10_3_Raw_0_0,S continue to play,continue to play E
Data10_4_Raw_0_0,S continue to play,continue to play E
Data10_5_Raw_0_0,S continue to play,continue to play E
Data10_6_Raw_0_0,S continue to play,continue to play E
Data10_7_Raw_0_0,S continue to play,continue to play E
Data10_8_Raw_0_0,S continue to play,continue to play E
Data10_9_Raw_0_0,S continue to play,continue to play E
Data10_10_Raw_0_0,S continue to play,continue to play E
Data11_1_Raw_0_0,S single cycle,single cycle E
Data11_2_Raw_0_0,S single cycle,single cycle E
Data11_3_Raw_0_0,S single cycle,single cycle E
Data11_4_Raw_0_0,S single cycle,single cycle E
Data11_5_Raw_0_0,S single cycle,single cycle E
Data11_6_Raw_0_0,S single cycle,single cycle E
Data11_7_Raw_0_0,S single cycle,single cycle E
Data11_8_Raw_0_0,S single cycle,single cycle E
Data11_9_Raw_0_0,S single cycle,single cycle E
Data11_10_Raw_0_0,S single cycle,single cycle E
Data12_1_Raw_0_0,S list loop,list loop E
Data12_2_Raw_0_0,S list loop,list loop E
Data12_3_Raw_0_0,S list loop,list loop E
Data12_4_Raw_0_0,S list loop,list loop E
Data12_5_Raw_0_0,S list loop,list loop E
Data12_6_Raw_0_0,S list loop,list loop E
Data12_7_Raw_0_0,S list loop,list loop E
Data12_8_Raw_0_0,S list loop,list loop E
Data12_9_Raw_0_0,S list loop,list loop E
Data12_10_Raw_0_0,S list loop,list loop E
Data13_1_Raw_0_0,S shutdown,shutdown E
Data13_2_Raw_0_0,S shutdown,shutdown E
Data13_3_Raw_0_0,S shutdown,shutdown E
Data13_4_Raw_0_0,S shutdown,shutdown E
Data13_5_Raw_0_0,S shutdown,shutdown E
Data13_6_Raw_0_0,S shutdown,shutdown E
Data13_7_Raw_0_0,S shutdown,shutdown E
Data13_8_Raw_0_0,S shutdown,shutdown E
Data13_9_Raw_0_0,S shutdown,shutdown E
Data13_10_Raw_0_0,S shutdown,shutdown E
Data14_1_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_2_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_3_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_4_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_5_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_6_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_7_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_8_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_9_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data14_10_Raw_0_0,S turn on the dehumidifier,turn on the dehumidifier E
Data15_1_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_2_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_3_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_4_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_5_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_6_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_7_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_8_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_9_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data15_10_Raw_0_0,S turn off the dehumidifier,turn off the dehumidifier E
Data16_1_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_2_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_3_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_4_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_5_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_6_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_7_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_8_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_9_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data16_10_Raw_0_0,S set the dehumidifier to low wind speed,set the dehumidifier to low wind speed E
Data17_1_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_2_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_3_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_4_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_5_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_6_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_7_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_8_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_9_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data17_10_Raw_0_0,S set the dehumidifier to high wind speed,set the dehumidifier to high wind speed E
Data18_1_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_2_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_3_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_4_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_5_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_6_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_7_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_8_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_9_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data18_10_Raw_0_0,S adjust the dehumidifier to stroke gear,adjust the dehumidifier to stroke gear E
Data19_1_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_2_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_3_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_4_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_5_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_6_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_7_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_8_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_9_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data19_10_Raw_0_0,S inquire about indoor humidity,inquire about indoor humidity E
Data20_1_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_2_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_3_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_4_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_5_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_6_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_7_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_8_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_9_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data20_10_Raw_0_0,S turn on the pet feeder,turn on the pet feeder E
Data21_1_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_2_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_3_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_4_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_5_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_6_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_7_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_8_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_9_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data21_10_Raw_0_0,S turn off the pet feeder,turn off the pet feeder E
Data22_1_Raw_0_0,S feed cat food,feed cat food E
Data22_2_Raw_0_0,S feed cat food,feed cat food E
Data22_3_Raw_0_0,S feed cat food,feed cat food E
Data22_4_Raw_0_0,S feed cat food,feed cat food E
Data22_5_Raw_0_0,S feed cat food,feed cat food E
Data22_6_Raw_0_0,S feed cat food,feed cat food E
Data22_7_Raw_0_0,S feed cat food,feed cat food E
Data22_8_Raw_0_0,S feed cat food,feed cat food E
Data22_9_Raw_0_0,S feed cat food,feed cat food E
Data22_10_Raw_0_0,S feed cat food,feed cat food E
Data23_1_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_2_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_3_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_4_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_5_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_6_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_7_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_8_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_9_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data23_10_Raw_0_0,S turn on the dishwasher,turn on the dishwasher E
Data24_1_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_2_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_3_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_4_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_5_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_6_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_7_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_8_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_9_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data24_10_Raw_0_0,S turn off the dishwasher,turn off the dishwasher E
Data25_1_Raw_0_0,S start washing dishes,start washing dishes E
Data25_2_Raw_0_0,S start washing dishes,start washing dishes E
Data25_3_Raw_0_0,S start washing dishes,start washing dishes E
Data25_4_Raw_0_0,S start washing dishes,start washing dishes E
Data25_5_Raw_0_0,S start washing dishes,start washing dishes E
Data25_6_Raw_0_0,S start washing dishes,start washing dishes E
Data25_7_Raw_0_0,S start washing dishes,start washing dishes E
Data25_8_Raw_0_0,S start washing dishes,start washing dishes E
Data25_9_Raw_0_0,S start washing dishes,start washing dishes E
Data25_10_Raw_0_0,S start washing dishes,start washing dishes E
Data26_1_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_2_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_3_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_4_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_5_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_6_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_7_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_8_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_9_Raw_0_0,S stop washing dishes,stop washing dishes E
Data26_10_Raw_0_0,S stop washing dishes,stop washing dishes E
Data27_1_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_2_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_3_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_4_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_5_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_6_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_7_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_8_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_9_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data27_10_Raw_0_0,S set the dishwasher to standard washing mode,set the dishwasher to standard washing mode E
Data28_1_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_2_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_3_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_4_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_5_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_6_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_7_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_8_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_9_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data28_10_Raw_0_0,S set the dishwasher to quick washing mode,set the dishwasher to quick washing mode E
Data29_1_Raw_0_0,S open the curtains,open the curtains E
Data29_2_Raw_0_0,S open the curtains,open the curtains E
Data29_3_Raw_0_0,S open the curtains,open the curtains E
Data29_4_Raw_0_0,S open the curtains,open the curtains E
Data29_5_Raw_0_0,S open the curtains,open the curtains E
Data29_6_Raw_0_0,S open the curtains,open the curtains E
Data29_7_Raw_0_0,S open the curtains,open the curtains E
Data29_8_Raw_0_0,S open the curtains,open the curtains E
Data29_9_Raw_0_0,S open the curtains,open the curtains E
Data29_10_Raw_0_0,S open the curtains,open the curtains E
Data30_1_Raw_0_0,S close the curtains,close the curtains E
Data30_2_Raw_0_0,S close the curtains,close the curtains E
Data30_3_Raw_0_0,S close the curtains,close the curtains E
Data30_4_Raw_0_0,S close the curtains,close the curtains E
Data30_5_Raw_0_0,S close the curtains,close the curtains E
Data30_6_Raw_0_0,S close the curtains,close the curtains E
Data30_7_Raw_0_0,S close the curtains,close the curtains E
Data30_8_Raw_0_0,S close the curtains,close the curtains E
Data30_9_Raw_0_0,S close the curtains,close the curtains E
Data30_10_Raw_0_0,S close the curtains,close the curtains E
Data31_1_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_2_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_3_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_4_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_5_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_6_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_7_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_8_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_9_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data31_10_Raw_0_0,S turn on the humidifier,turn on the humidifier E
Data32_1_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_2_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_3_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_4_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_5_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_6_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_7_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_8_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_9_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data32_10_Raw_0_0,S turn off the humidifier,turn off the humidifier E
Data33_1_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_2_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_3_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_4_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_5_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_6_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_7_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_8_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_9_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data33_10_Raw_0_0,S set the wind speed of the humidifier to  first gear,set the wind speed of the humidifier to  first gear E
Data34_1_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_2_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_3_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_4_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_5_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_6_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_7_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_8_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_9_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data34_10_Raw_0_0,S turn up the wind speed of the humidifier,turn up the wind speed of the humidifier E
Data35_1_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_2_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_3_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_4_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_5_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_6_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_7_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_8_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_9_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data35_10_Raw_0_0,S set the wind speed of the humidifier to maximum,set the wind speed of the humidifier to maximum E
Data36_1_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_2_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_3_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_4_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_5_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_6_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_7_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_8_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_9_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data36_10_Raw_0_0,S inquire about the indoor temperature,inquire about the indoor temperature E
Data37_1_Raw_0_0,S turn on the TV,turn on the TV E
Data37_2_Raw_0_0,S turn on the TV,turn on the TV E
Data37_3_Raw_0_0,S turn on the TV,turn on the TV E
Data37_4_Raw_0_0,S turn on the TV,turn on the TV E
Data37_5_Raw_0_0,S turn on the TV,turn on the TV E
Data37_6_Raw_0_0,S turn on the TV,turn on the TV E
Data37_7_Raw_0_0,S turn on the TV,turn on the TV E
Data37_8_Raw_0_0,S turn on the TV,turn on the TV E
Data37_9_Raw_0_0,S turn on the TV,turn on the TV E
Data37_10_Raw_0_0,S turn on the TV,turn on the TV E
Data38_1_Raw_0_0,S turn off the TV,turn off the TV E
Data38_2_Raw_0_0,S turn off the TV,turn off the TV E
Data38_3_Raw_0_0,S turn off the TV,turn off the TV E
Data38_4_Raw_0_0,S turn off the TV,turn off the TV E
Data38_5_Raw_0_0,S turn off the TV,turn off the TV E
Data38_6_Raw_0_0,S turn off the TV,turn off the TV E
Data38_7_Raw_0_0,S turn off the TV,turn off the TV E
Data38_8_Raw_0_0,S turn off the TV,turn off the TV E
Data38_9_Raw_0_0,S turn off the TV,turn off the TV E
Data38_10_Raw_0_0,S turn off the TV,turn off the TV E
Data39_1_Raw_0_0,S mute TV,mute TV E
Data39_2_Raw_0_0,S mute TV,mute TV E
Data39_3_Raw_0_0,S mute TV,mute TV E
Data39_4_Raw_0_0,S mute TV,mute TV E
Data39_5_Raw_0_0,S mute TV,mute TV E
Data39_6_Raw_0_0,S mute TV,mute TV E
Data39_7_Raw_0_0,S mute TV,mute TV E
Data39_8_Raw_0_0,S mute TV,mute TV E
Data39_9_Raw_0_0,S mute TV,mute TV E
Data39_10_Raw_0_0,S mute TV,mute TV E
Data40_1_Raw_0_0,S unmute TV,unmute TV E
Data40_2_Raw_0_0,S unmute TV,unmute TV E
Data40_3_Raw_0_0,S unmute TV,unmute TV E
Data40_4_Raw_0_0,S unmute TV,unmute TV E
Data40_5_Raw_0_0,S unmute TV,unmute TV E
Data40_6_Raw_0_0,S unmute TV,unmute TV E
Data40_7_Raw_0_0,S unmute TV,unmute TV E
Data40_8_Raw_0_0,S unmute TV,unmute TV E
Data40_9_Raw_0_0,S unmute TV,unmute TV E
Data40_10_Raw_0_0,S unmute TV,unmute TV E
Data41_1_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_2_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_3_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_4_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_5_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_6_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_7_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_8_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_9_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data41_10_Raw_0_0,S turn on the air conditioner,turn on the air conditioner E
Data42_1_Raw_0_0,S turn off the air conditioner,turn off the air conditioner E
